frame.time_relative,ip.src,cmutcp.source_port,ip.dst,cmutcp.destination_port,cmutcp.seq_num,cmutcp.ack_num,cmutcp.hlen,cmutcp.plen,cmutcp.flags,cmutcp.advertised_window,cmutcp.extension_length
0.000000000,10.0.1.2,0,10.0.1.1,3120,554943868,0,33,33,8,65535,0
0.000190000,10.0.1.1,0,10.0.1.2,49065,860840242,554943869,33,33,12,65535,0
0.000774000,10.0.1.2,0,10.0.1.1,3120,554943868,860840243,33,33,4,65535,0
2.031832000,10.0.1.2,49065,10.0.1.1,3120,554943869,860840243,33,1400,4,65535,0
2.032447000,10.0.1.1,3120,10.0.1.2,49065,860840243,554945236,33,33,4,64168,0
2.044686000,10.0.1.2,49065,10.0.1.1,3120,554945236,860840243,33,1400,4,65535,0
2.045474000,10.0.1.1,3120,10.0.1.2,49065,860840243,554946603,33,33,4,62801,0
2.055236000,10.0.1.2,49065,10.0.1.1,3120,554946603,860840243,33,1400,4,65535,0
2.055782000,10.0.1.1,3120,10.0.1.2,49065,860840243,554947970,33,33,4,61434,0
2.057283000,10.0.1.2,49065,10.0.1.1,3120,554947970,860840243,33,1400,4,65535,0
2.057861000,10.0.1.1,3120,10.0.1.2,49065,860840243,554949337,33,33,4,60067,0
2.058568000,10.0.1.2,49065,10.0.1.1,3120,554949337,860840243,33,1400,4,65535,0
2.059443000,10.0.1.1,3120,10.0.1.2,49065,860840243,554950704,33,33,4,58700,0
2.060099000,10.0.1.2,49065,10.0.1.1,3120,554950704,860840243,33,1400,4,65535,0
2.060641000,10.0.1.1,3120,10.0.1.2,49065,860840243,554952071,33,33,4,57333,0
2.061231000,10.0.1.2,49065,10.0.1.1,3120,554952071,860840243,33,1400,4,65535,0
2.061807000,10.0.1.1,3120,10.0.1.2,49065,860840243,554953438,33,33,4,55966,0
2.062368000,10.0.1.2,49065,10.0.1.1,3120,554953438,860840243,33,1400,4,65535,0
2.063278000,10.0.1.1,3120,10.0.1.2,49065,860840243,554954805,33,33,4,54599,0
2.063973000,10.0.1.2,49065,10.0.1.1,3120,554954805,860840243,33,1400,4,65535,0
2.064643000,10.0.1.1,3120,10.0.1.2,49065,860840243,554956172,33,33,4,53232,0
2.065317000,10.0.1.2,49065,10.0.1.1,3120,554956172,860840243,33,1400,4,65535,0
2.065784000,10.0.1.1,3120,10.0.1.2,49065,860840243,554957539,33,33,4,51865,0
2.066283000,10.0.1.2,49065,10.0.1.1,3120,554957539,860840243,33,1400,4,65535,0
2.066852000,10.0.1.1,3120,10.0.1.2,49065,860840243,554958906,33,33,4,50498,0
2.067481000,10.0.1.2,49065,10.0.1.1,3120,554958906,860840243,33,1400,4,65535,0
2.068104000,10.0.1.1,3120,10.0.1.2,49065,860840243,554960273,33,33,4,49131,0
2.068591000,10.0.1.2,49065,10.0.1.1,3120,554960273,860840243,33,1400,4,65535,0
2.069035000,10.0.1.1,3120,10.0.1.2,49065,860840243,554961640,33,33,4,47764,0
2.069619000,10.0.1.2,49065,10.0.1.1,3120,554961640,860840243,33,1400,4,65535,0
2.070159000,10.0.1.1,3120,10.0.1.2,49065,860840243,554963007,33,33,4,46397,0
2.070632000,10.0.1.2,49065,10.0.1.1,3120,554963007,860840243,33,1400,4,65535,0
2.071430000,10.0.1.1,3120,10.0.1.2,49065,860840243,554964374,33,33,4,45030,0
2.072137000,10.0.1.2,49065,10.0.1.1,3120,554964374,860840243,33,1400,4,65535,0
2.072638000,10.0.1.1,3120,10.0.1.2,49065,860840243,554965741,33,33,4,43663,0
2.073199000,10.0.1.2,49065,10.0.1.1,3120,554965741,860840243,33,1400,4,65535,0
2.073793000,10.0.1.1,3120,10.0.1.2,49065,860840243,554967108,33,33,4,42296,0
2.074375000,10.0.1.2,49065,10.0.1.1,3120,554967108,860840243,33,1400,4,65535,0
2.074791000,10.0.1.1,3120,10.0.1.2,49065,860840243,554968475,33,33,4,40929,0
2.075335000,10.0.1.2,49065,10.0.1.1,3120,554968475,860840243,33,1400,4,65535,0
2.075739000,10.0.1.1,3120,10.0.1.2,49065,860840243,554969842,33,33,4,39562,0
2.076213000,10.0.1.2,49065,10.0.1.1,3120,554969842,860840243,33,1400,4,65535,0
2.076627000,10.0.1.1,3120,10.0.1.2,49065,860840243,554971209,33,33,4,38195,0
2.077062000,10.0.1.2,49065,10.0.1.1,3120,554971209,860840243,33,1400,4,65535,0
2.077337000,10.0.1.1,3120,10.0.1.2,49065,860840243,554972576,33,33,4,36828,0
2.078121000,10.0.1.2,49065,10.0.1.1,3120,554972576,860840243,33,1400,4,65535,0
2.078657000,10.0.1.1,3120,10.0.1.2,49065,860840243,554973943,33,33,4,35461,0
2.079283000,10.0.1.2,49065,10.0.1.1,3120,554973943,860840243,33,1400,4,65535,0
2.079805000,10.0.1.1,3120,10.0.1.2,49065,860840243,554975310,33,33,4,34094,0
2.080345000,10.0.1.2,49065,10.0.1.1,3120,554975310,860840243,33,1400,4,65535,0
2.080776000,10.0.1.1,3120,10.0.1.2,49065,860840243,554976677,33,33,4,32727,0
2.081405000,10.0.1.2,49065,10.0.1.1,3120,554976677,860840243,33,1400,4,65535,0
2.081791000,10.0.1.1,3120,10.0.1.2,49065,860840243,554978044,33,33,4,31360,0
2.082282000,10.0.1.2,49065,10.0.1.1,3120,554978044,860840243,33,1400,4,65535,0
2.082671000,10.0.1.1,3120,10.0.1.2,49065,860840243,554979411,33,33,4,29993,0
2.083232000,10.0.1.2,49065,10.0.1.1,3120,554979411,860840243,33,1400,4,65535,0
2.083560000,10.0.1.1,3120,10.0.1.2,49065,860840243,554980778,33,33,4,28626,0
2.083927000,10.0.1.2,49065,10.0.1.1,3120,554980778,860840243,33,1400,4,65535,0
2.084312000,10.0.1.1,3120,10.0.1.2,49065,860840243,554982145,33,33,4,27259,0
2.084888000,10.0.1.2,49065,10.0.1.1,3120,554982145,860840243,33,1400,4,65535,0
2.085556000,10.0.1.1,3120,10.0.1.2,49065,860840243,554983512,33,33,4,25892,0
2.086572000,10.0.1.2,49065,10.0.1.1,3120,554983512,860840243,33,1400,4,65535,0
2.087828000,10.0.1.1,3120,10.0.1.2,49065,860840243,554984879,33,33,4,24525,0
2.088934000,10.0.1.2,49065,10.0.1.1,3120,554984879,860840243,33,1400,4,65535,0
2.089557000,10.0.1.1,3120,10.0.1.2,49065,860840243,554986246,33,33,4,23158,0
2.090061000,10.0.1.2,49065,10.0.1.1,3120,554986246,860840243,33,1400,4,65535,0
2.090448000,10.0.1.1,3120,10.0.1.2,49065,860840243,554987613,33,33,4,21791,0
2.090828000,10.0.1.2,49065,10.0.1.1,3120,554987613,860840243,33,1400,4,65535,0
2.091342000,10.0.1.1,3120,10.0.1.2,49065,860840243,554988980,33,33,4,20424,0
2.091715000,10.0.1.2,49065,10.0.1.1,3120,554988980,860840243,33,1400,4,65535,0
2.092382000,10.0.1.1,3120,10.0.1.2,49065,860840243,554990347,33,33,4,19057,0
2.092989000,10.0.1.2,49065,10.0.1.1,3120,554990347,860840243,33,1400,4,65535,0
2.093509000,10.0.1.1,3120,10.0.1.2,49065,860840243,554991714,33,33,4,17690,0
2.094079000,10.0.1.2,49065,10.0.1.1,3120,554991714,860840243,33,1400,4,65535,0
2.094557000,10.0.1.1,3120,10.0.1.2,49065,860840243,554993081,33,33,4,16323,0
2.095002000,10.0.1.2,49065,10.0.1.1,3120,554993081,860840243,33,1400,4,65535,0
2.095538000,10.0.1.1,3120,10.0.1.2,49065,860840243,554994448,33,33,4,14956,0
2.096124000,10.0.1.2,49065,10.0.1.1,3120,554994448,860840243,33,1400,4,65535,0
2.097099000,10.0.1.1,3120,10.0.1.2,49065,860840243,554995815,33,33,4,13589,0
2.103494000,10.0.1.2,49065,10.0.1.1,3120,554995815,860840243,33,1400,4,65535,0
2.104189000,10.0.1.1,3120,10.0.1.2,49065,860840243,554997182,33,33,4,12222,0
2.104775000,10.0.1.2,49065,10.0.1.1,3120,554997182,860840243,33,1400,4,65535,0
2.105352000,10.0.1.1,3120,10.0.1.2,49065,860840243,554998549,33,33,4,10855,0
2.106184000,10.0.1.2,49065,10.0.1.1,3120,554998549,860840243,33,1400,4,65535,0
2.106899000,10.0.1.1,3120,10.0.1.2,49065,860840243,554999916,33,33,4,9488,0
2.107542000,10.0.1.2,49065,10.0.1.1,3120,554999916,860840243,33,1400,4,65535,0
2.108313000,10.0.1.1,3120,10.0.1.2,49065,860840243,555001283,33,33,4,8121,0
2.109011000,10.0.1.2,49065,10.0.1.1,3120,555001283,860840243,33,1400,4,65535,0
2.109465000,10.0.1.1,3120,10.0.1.2,49065,860840243,555002650,33,33,4,6754,0
2.110615000,10.0.1.2,49065,10.0.1.1,3120,555002650,860840243,33,1400,4,65535,0
2.111324000,10.0.1.1,3120,10.0.1.2,49065,860840243,555004017,33,33,4,5387,0
2.112044000,10.0.1.2,49065,10.0.1.1,3120,555004017,860840243,33,1400,4,65535,0
2.113244000,10.0.1.1,3120,10.0.1.2,49065,860840243,555005384,33,33,4,4020,0
2.114806000,10.0.1.2,49065,10.0.1.1,3120,555005384,860840243,33,1400,4,65535,0
